"Sl. No.","University Name","Contact No.","Website Links","",""
"1","University of Rajasthan, Jaipur","9468585262, 9468585156","www.uniraj.ac.in","https://hte.rajasthan.gov.in/university/university_of_rajasthan","http://www.uniraj.ac.in/"
"2","Mohan Lal Sukhadia University, Udaipur","9413786647, 9414166833","www.mlsu.ac.in","https://hte.rajasthan.gov.in/university/mohanlal_sukhadia_university","https://www.mlsu.ac.in/"
"3","Jagadguru Ramanandacharya Rajasthan Sanskrit University, Bhankrota, Jaipur","0141-5132030","www.jrrsanskrituniversity.ac.in","https://hte.rajasthan.gov.in/university/jagadguru_ramanandacharya_rajasthan_sanskrit_university","http://www.jrrsanskrituniversity.ac.in/"
"4","Rajasthan Technical University, Kota","9414317401","www.rtu.ac.in","https://hte.rajasthan.gov.in/university/rajasthan_technical_university_kota","http://www.rtu.ac.in/"
"5","Rajasthan University of Health Sciences, Jaipur","0141-2791928, 0141-2795529","ruhsraj.org","javascript:void(0);","https://ruhsraj.org/"
"6","Rajasthan University of Veterinary and Animal Sciences, Bikaner","0151-2540021","www.rajuvas.org","https://hte.rajasthan.gov.in/university/rajasthan_university_of_veterinary_and_animal_sciences","http://rajuvas.org/"
"7","Sardar Patel University of Police, Security and Criminal Justice, Jodhpur","0291-3062000","www.policeuniversity.ac.in","https://hte.rajasthan.gov.in/university/sardar_patel_university_of_police,_security_and_criminal_justice,_jodhpur","http://www.policeuniversity.ac.in/"
"8","Sri Karan Narendra Agriculture University, Jobner","01425-254900","www.sknau.ac.in","https://hte.rajasthan.gov.in/university/sri_karan_narendra_agriculture_university_jobner","http://www.sknau.ac.in/"
"9","Jai Narayan Vyas University, Jodhpur","9414758089","www.jnvu.edu.in","https://hte.rajasthan.gov.in/university/jai_narayan_vyas_unversity,_jodhpur","https://www.jnvu.edu.in/"
"10","Maharishi Dayanand Saraswati University, Ajmer","0145-2787255","www.mdsuajmer.ac.in","https://hte.rajasthan.gov.in/university/maharshi_dayanand_saraswati_university_ajmer","http://www.mdsuajmer.ac.in/"
"11","Vardhman Mahaveer Open University, Kota","0744-2797340","www.vmou.ac.in","https://hte.rajasthan.gov.in/university/vardhman_mahaveer_open_university","http://www.vmou.ac.in/"
"12","Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur","0291 2795311","https://educationsector.rajasthan.gov.in/raujodhpur","https://hte.rajasthan.gov.in/university/dr._sarvepalli_radhakrishnan_rajasthan_ayurved_university,_jodhpur","https://educationsector.rajasthan.gov.in/raujodhpur"
"13","University of Kota","9414258030","www.uok.ac.in","https://hte.rajasthan.gov.in/university/university_of_kota","http://www.uok.ac.in/"
"14","Maharaja Ganga Singh University, Bikaner","0151-2970177","www.mgsubikaner.ac.in","https://hte.rajasthan.gov.in/university/maharaja_ganga_singh_university","http://mgsubikaner.ac.in/"
"15","Swami Keshwanand Rajasthan Agricultural University, Bikaner","9414264790","www.raubikaner.org","https://hte.rajasthan.gov.in/university/swami_keshwanand_rajasthan_agricultural_university","http://raubikaner.org/"
"16","Maharana Pratap University of Agriculture and Technology, Udaipur","9414472732","www.mpuat.ac.in","https://hte.rajasthan.gov.in/university/maharana_pratap_university_of_agriculture_and_technology","http://www.mpuat.ac.in/"
"17","Pt. Deendayal Upadhyaya Shekhawati University, Sikar","01572-273200","www.shekhauni.ac.in","https://hte.rajasthan.gov.in/university/pandit_deendayal_upadhyaya_shekhawati_university_sikar","http://www.shekhauni.ac.in/"
"18","Maharaja Surajmal Brij University, Bharatpur","05644-220560","www.msbrijuniversity.ac.in","https://hte.rajasthan.gov.in/university/maharaja_surajmal_brij_university","http://www.msbrijuniversity.ac.in/"
"19","Raj Rishi Bharthari Matsya University, Alwar","0144-2730321, 2730327, 2980046","www.rrbmuniv.ac.in","https://hte.rajasthan.gov.in/university/raj_rishi_bhartrihari_matsya_university_alwar","http://www.rrbmuniv.ac.in/"
"20","Govind Guru Janjatiya University, Banswara","0294-2470150,2470170","www.ggtu.ac.in","https://hte.rajasthan.gov.in/university/ggtu","http://www.ggtu.ac.in/"
"21","Rajasthan Krida University, Jhunjhunu","-","-","https://hte.rajasthan.gov.in/state_univ.php#","https://hte.rajasthan.gov.in/state_univ.php"
"22","Agriculture University, Jodhpur","0219-2570711","www.aujodhpur.ac.in","https://hte.rajasthan.gov.in/university/agriculture_university,_jodhpur","http://aujodhpur.ac.in/"
"23","Agriculture University, Kota","0744 -2321205","www.aukota.org","https://hte.rajasthan.gov.in/university/agriculture_university,_kota","http://aukota.org/"
"24","National Law University, Jodhpur","0291-2577530, 2577526","www.nlujodhpur.ac.in","javascript:void(0);","http://www.nlujodhpur.ac.in/"
"25","Rajasthan ILD Skill University, Jaipur","0141- 2702116","www.rajskills.edu.in","https://hte.rajasthan.gov.in/state_univ.php#","http://www.rajskills.edu.in/"
"26","Haridev Joshi University of Journalism and Mass Communication (HJU),Jaipur","0141-2974150","hju.ac.in/index_en.html","https://hte.rajasthan.gov.in/university/hju","https://hju.ac.in/index_en.html"
"27","Bikaner Technical University, Bikaner","0151-2250940","btu.ac.in/home/","https://hte.rajasthan.gov.in/university/btu","https://btu.ac.in/home/"
"28","https://www.alujaipur.ac.in","Dr. Bhimrao Ambedkar Law University, Jaipur","0141-2941442","https://www.alujaipur.ac.in/",""
